"title","Archive_Date","date_posted","position","location","url","District","Posting_Source","Posting_Identity_Method","Posting_ID"
"Jr. High Social Studies Teacher",2026-08-11,"2022-07-26","Teacher","Jr. High/High School","https://www.applitrack.com/lamedeer/onlineapp/default.aspx","Lame Deer Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardlame deer public schoolsjr. high social studies teacherjr. high/high school2022-07-26#1"
"Librarian (Jr High/High School)",2026-08-11,"2024-06-04","Other","Jr. High/High School","https://www.applitrack.com/lamedeer/onlineapp/default.aspx","Lame Deer Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardlame deer public schoolslibrarian (jr high/high school)jr. high/high school2024-06-04#1"
"District-Wide Substitute",2026-08-11,"2023-08-08","Substitute","District-Wide","https://www.applitrack.com/lamedeer/onlineapp/default.aspx","Lame Deer Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardlame deer public schoolsdistrict-wide substitutedistrict-wide2023-08-08#1"
"Head Coach or Sponsor",2026-08-11,NA,"Athletics",NA,"https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolshead coach or sponsorNANA#1"
"MS or Assistant Coach/Sponsor",2026-08-11,NA,"Athletics",NA,"https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsms or assistant coach/sponsorNANA#1"
"Activities Director",2026-08-11,NA,"Administration","8/1/2024","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsactivities director8/1/2024NA#1"
"Elementary Classroom Teacher K-4",2026-08-11,NA,"Teacher","08/16/2024","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolselementary classroom teacher k-408/16/2024NA#1"
"Elementary Music Teacher",2026-08-11,"2024-01-25","Teacher","Poplar Elementary School","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolselementary music teacherpoplar elementary school2024-01-25#1"
"Technology Education Teacher",2026-08-11,"2022-07-14","Teacher","Poplar High School (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolstechnology education teacherpoplar high school (high-needs school)2022-07-14#1"
"Social Studies Teacher (Grades 9-12)",2026-08-11,"2023-10-30","Teacher","Poplar High School (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolssocial studies teacher (grades 9-12)poplar high school (high-needs school)2023-10-30#1"
"Guidance Counselor",2026-08-11,"2024-01-14","Support Services","Poplar Middle School (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsguidance counselorpoplar middle school (high-needs school)2024-01-14#1"
"Special Education Teacher (Grades K-12)",2026-08-11,"2024-02-23","Teacher","Poplar Schools (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsspecial education teacher (grades k-12)poplar schools (high-needs school)2024-02-23#1"
"Speech Pathologist",2026-08-11,"2024-01-13","Support Services","Poplar Schools (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsspeech pathologistpoplar schools (high-needs school)2024-01-13#1"
"Paraprofessional",2026-08-11,"2022-07-14","Paraprofessional","Poplar Schools (High-Needs School)","https://www.applitrack.com/poplar/onlineapp/default.aspx","Poplar Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardpoplar public schoolsparaprofessionalpoplar schools (high-needs school)2022-07-14#1"
"Toddler Teacher",2026-08-11,"2026-05-13","Teacher","Early Education Center","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolstoddler teacherearly education center2026-05-13#1"
"Preschool Teacher",2026-08-11,"2026-05-13","Teacher","Early Education Center","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolspreschool teacherearly education center2026-05-13#1"
"Educational Aide (5 positions)",2026-08-11,"2026-07-20","Support Services","District Wide","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolseducational aide (5 positions)district wide2026-07-20#1"
"Educational Aide (4 positions)",2026-08-11,"2026-08-11","Support Services","Gilles-Sweet Elementary School","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolseducational aide (4 positions)gilles-sweet elementary school2026-08-11#1"
"English Language Learner (ELL) Tutor",2026-08-11,NA,"Support Services","Immediately","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolsenglish language learner (ell) tutorimmediatelyNA#1"
"Payroll Coordinator",2026-08-11,"2026-08-11","Administration","Central Office","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolspayroll coordinatorcentral office2026-08-11#1"
"Substitute Teacher",2026-08-11,"2026-08-11","Substitute","Gilles-Sweet Elementary School","https://www.applitrack.com/fairview/onlineapp/default.aspx","Fairview Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardfairview public schoolssubstitute teachergilles-sweet elementary school2026-08-11#1"
"Coaching Positions-Head Wrestling Coach",2026-08-11,"2026-04-24","Athletics","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolscoaching positions-head wrestling coachrocky boy jr. & sr. high school2026-04-24#1"
"Assistant Jr. High School Football Coaches (2)",2026-08-11,"2026-06-01","Athletics","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsassistant jr. high school football coaches (2)rocky boy jr. & sr. high school2026-06-01#1"
"Head Jr. High Wrestling Coach",2026-08-11,"2026-06-01","Athletics","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolshead jr. high wrestling coachrocky boy jr. & sr. high school2026-06-01#1"
"Assistant Jr. High Track Coach",2026-08-11,"2026-06-01","Athletics","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsassistant jr. high track coachrocky boy jr. & sr. high school2026-06-01#1"
"Assistant Jr. High Volleyball Coaches (2)",2026-08-11,"2026-06-01","Athletics","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsassistant jr. high volleyball coaches (2)rocky boy jr. & sr. high school2026-06-01#1"
"Elementary School Teacher - 5th Grade",2026-08-11,NA,"Teacher","07/28/2026","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolselementary school teacher - 5th grade07/28/2026NA#1"
"Elementary School Teacher -4th Grade",2026-08-11,NA,"Teacher",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolselementary school teacher -4th gradeNANA#1"
"Rocky Boy School Cree Enhancement Program- Pre-School Teacher",2026-08-11,NA,"Teacher",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsrocky boy school cree enhancement program- pre-school teacherNANA#1"
"21st Century Grant Coordinator",2026-08-11,NA,"Administration",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools21st century grant coordinatorNANA#1"
"K-12 Paraprofessional",2026-08-11,NA,"Paraprofessional",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsk-12 paraprofessionalNANA#1"
"(1) K-8 1st Grade",2026-08-11,NA,"Other","07/21/2026","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(1) k-8 1st grade07/21/2026NA#1"
"Cree Enhancement Preschool Teacher",2026-08-11,NA,"Teacher",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolscree enhancement preschool teacherNANA#1"
"Rocky Boy School Cree Enhancement Program-Project Coordinator/Teacher",2026-08-11,NA,"Teacher",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsrocky boy school cree enhancement program-project coordinator/teacherNANA#1"
"Copy Of Pre -K Teacher",2026-08-11,"2026-01-22","Teacher","Rocky Boy Elementary School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolscopy of pre -k teacherrocky boy elementary school2026-01-22#1"
"(1) Food Service Aide",2026-08-11,NA,"Support Services",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(1) food service aideNANA#1"
"(2) Head Start Custodian",2026-08-11,NA,"Custodial/Maintenance",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(2) head start custodianNANA#1"
"Health Manager",2026-08-11,NA,"Other",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolshealth managerNANA#1"
"Head Start Family Service Advocate",2026-08-11,NA,"Child Care",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolshead start family service advocateNANA#1"
"Early Head Start Educators (2)",2026-08-11,"2026-07-22","Teacher","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsearly head start educators (2)rocky boy head start2026-07-22#1"
"Early Head Start Educators",2026-08-11,"2025-12-16","Teacher","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsearly head start educatorsrocky boy head start2025-12-16#1"
"Head Start Cook",2026-08-11,"2026-04-01","Food Services","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolshead start cookrocky boy head start2026-04-01#1"
"(2) Head Start Cooks",2026-08-11,"2026-07-22","Food Services","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(2) head start cooksrocky boy head start2026-07-22#1"
"Head Start Teacher",2026-08-11,"2026-04-01","Teacher","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolshead start teacherrocky boy head start2026-04-01#1"
"(3) Head Start PT Bus Drivers",2026-08-11,"2026-04-02","Transportation","Rocky Boy Head Start","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(3) head start pt bus driversrocky boy head start2026-04-02#1"
"Rocky Boy School 7-12 Family and Consumer Sciences",2026-08-11,"2026-04-01","Teacher","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsrocky boy school 7-12 family and consumer sciencesrocky boy jr. & sr. high school2026-04-01#1"
"K-12 Custodian (2)",2026-08-11,"2026-07-22","Custodial/Maintenance","Rocky Boy Jr. & Sr. High School","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schoolsk-12 custodian (2)rocky boy jr. & sr. high school2026-07-22#1"
"(2) K-12 Paraprofessional",2026-08-11,NA,"Paraprofessional",NA,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(2) k-12 paraprofessionalNANA#1"
"(2) Part-Time Bus Drivers/Custodians",2026-08-11,"2026-07-22","Custodial/Maintenance","Rocky Boy School Transportation","https://www.applitrack.com/rockyboy/onlineapp/default.aspx","Rocky Boy Public Schools","Direct district board","Source fallback: title + location + posted date (no stable posting URL)","fallback:source-fallbackdirect district boardrocky boy public schools(2) part-time bus drivers/custodiansrocky boy school transportation2026-07-22#1"
"Substitute School Secretary",2026-08-11,"2026-08-06","Substitute","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5874822","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5874822"
"Lunch Supervisor/District Support Personnel (Part-time)",2026-08-11,"2026-07-28","Support Services","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5857971","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5857971"
"Custodian-Performing Arts Center (Part-Time)",2026-08-11,"2026-07-15","Custodial/Maintenance","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5834379","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5834379"
"WMS Special Education Paraeducator (multiple positions)",2026-08-11,"2026-07-14","Paraprofessional","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5832175","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5832175"
"WMS Special Education Teacher (Structured Learning)",2026-08-11,"2026-07-09","Teacher","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5825711","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5825711"
"Food Service",2026-08-11,"2026-06-17","Food Services","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5788196","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5788196"
"School Psychologist .5 FTE (beginning 26/27)",2026-08-11,"2026-06-10","Support Services","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5773491","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5773491"
"WHS Assistant Wrestling Coach",2026-08-11,"2026-05-08","Athletics","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5702620","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5702620"
"WHS Special Education Teacher-Extended Resource (beginning 26/27) Multiple Positions",2026-08-11,"2026-03-04","Teacher","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5568958","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5568958"
"Special Education Paraeducator (beginning 26/27) - multiple positions",2026-08-11,"2026-03-03","Paraprofessional","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5566328","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5566328"
"Crossing Guards (1 WMS, 1 Muldown)",2026-08-11,"2026-01-21","Other","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5506878","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5506878"
"Substitute Custodian",2026-08-11,"2025-02-26","Substitute","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/5005408","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/5005408"
"Guest Teacher",2026-08-11,"2021-09-21","Teacher","Whitefish, Montana","https://whitefishschools.schoolspring.com/jobs/4863703","Whitefish School District","Direct district board","Stable per-posting URL","url:https://whitefishschools.schoolspring.com/jobs/4863703"
"District Nurse",2026-08-11,"2026-06-25","Other","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5803798","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5803798"
"Fergus High School Head Cheer Coach",2026-08-11,"2026-06-10","Athletics","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5775816","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5775816"
"Lewistown Junior High School Head and Assistant Volleyball Coaches",2026-08-11,"2026-06-10","Athletics","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5775803","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5775803"
"Food Service",2026-08-11,"2026-05-15","Food Services","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5718971","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5718971"
"Coaches",2026-08-11,"2026-04-22","Athletics","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5873503","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5873503"
"Custodian - Lewis &amp; Clark Elementary",2026-08-11,"2026-02-13","Custodial/Maintenance","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5547070","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5547070"
"Custodian - FHS",2026-08-11,"2025-03-31","Custodial/Maintenance","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/5070784","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/5070784"
"Bus Driver - Route 4 - 4hrs/day",2026-08-11,"2024-08-07","Transportation","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/4745811","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/4745811"
"Substitute Bus Driver",2026-08-11,"2023-09-27","Substitute","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/4409755","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/4409755"
"Guest or Substitute Teacher",2026-08-11,"2021-09-16","Substitute","Lewistown, Montana","https://lewistown.schoolspring.com/jobs/4831393","Lewistown Public Schools","Direct district board","Stable per-posting URL","url:https://lewistown.schoolspring.com/jobs/4831393"
"Middle School Girls Basketball Coach",2026-08-11,"2026-08-10","Athletics","Laurel, Montana","https://laurel.schoolspring.com/jobs/5874737","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5874737"
"General Education Aide",2026-08-11,"2026-08-07","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5869899","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5869899"
"Bus Driver",2026-08-11,"2026-07-20","Transportation","Laurel, Montana","https://laurel.schoolspring.com/jobs/5838370","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5838370"
"Middle School Boys Basketball Coach",2026-08-11,"2026-07-14","Athletics","Laurel, Montana","https://laurel.schoolspring.com/jobs/5825438","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5825438"
"Middle School Track Coach",2026-08-11,"2026-07-14","Athletics","Laurel, Montana","https://laurel.schoolspring.com/jobs/5825431","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5825431"
"Teacher for the Visually Impaired",2026-08-11,"2026-07-13","Teacher","Laurel, Montana","https://laurel.schoolspring.com/jobs/5823118","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5823118"
"High School Assistant Wrestling Coach",2026-08-11,"2026-06-29","Athletics","Laurel, Montana","https://laurel.schoolspring.com/jobs/5801094","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5801094"
"26-27 Special Education Teacher - ECS/Adult Transition/Homebound",2026-08-11,"2026-06-11","Teacher","Laurel, Montana","https://laurel.schoolspring.com/jobs/5767804","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5767804"
"Security",2026-08-11,"2026-05-29","Other","Laurel, Montana","https://laurel.schoolspring.com/jobs/5737326","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5737326"
"Specialized Needs Aide",2026-08-11,"2026-05-04","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5682188","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5682188"
"26-27 Substitute",2026-08-11,"2026-04-24","Substitute","Laurel, Montana","https://laurel.schoolspring.com/jobs/5660181","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5660181"
"Seasonal Groundskeeper",2026-08-11,"2026-03-19","Other","Laurel, Montana","https://laurel.schoolspring.com/jobs/5589475","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5589475"
"Bus Aide",2026-08-11,"2026-03-12","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5576634","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5576634"
"26-27 Speech Language Pathologist",2026-08-11,"2026-02-13","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5532286","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5532286"
"Physical Therapist",2026-08-11,"2026-01-15","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5134174","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5134174"
"Speech Language Pathologist",2026-08-11,"2025-06-21","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5246053","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5246053"
"Middle School Football Coach",2026-08-11,"2025-05-22","Athletics","Laurel, Montana","https://laurel.schoolspring.com/jobs/5176765","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5176765"
"Foreign Language Interpreter",2026-08-11,"2024-11-24","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/4880860","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/4880860"
"School Psychologist",2026-08-11,"2024-06-16","Support Services","Laurel, Montana","https://laurel.schoolspring.com/jobs/5007605","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5007605"
"Community Education",2026-08-11,"2022-09-12","Other","Laurel, Montana","https://laurel.schoolspring.com/jobs/5007604","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5007604"
"Substitute Bus Driver",2026-08-11,"2019-02-13","Substitute","Laurel, Montana","https://laurel.schoolspring.com/jobs/5007601","Laurel Public Schools","Direct district board","Stable per-posting URL","url:https://laurel.schoolspring.com/jobs/5007601"
"Head Track Coach",2026-08-11,"2026-08-11","Athletics","Ronan, Montana","https://ronan.schoolspring.com/jobs/5880774","Ronan Public Schools","Direct district board","Stable per-posting URL","url:https://ronan.schoolspring.com/jobs/5880774"
"Full Time Substitute - District Wide",2026-08-11,"2026-07-01","Substitute","Ronan, Montana","https://ronan.schoolspring.com/jobs/5855159","Ronan Public Schools","Direct district board","Stable per-posting URL","url:https://ronan.schoolspring.com/jobs/5855159"
"RMS Teacher ~ Salish and/or Kootenai Language ~ 2026-27",2026-08-11,"2026-06-23","Teacher","Ronan, Montana","https://ronan.schoolspring.com/jobs/5797647","Ronan Public Schools","Direct district board","Stable per-posting URL","url:https://ronan.schoolspring.com/jobs/5797647"
"Coach ~ Assistant Baseball ~ RHS",2026-08-11,"2026-06-23","Athletics","Ronan, Montana","https://ronan.schoolspring.com/jobs/5796614","Ronan Public Schools","Direct district board","Stable per-posting URL","url:https://ronan.schoolspring.com/jobs/5796614"
"Coach ~ Assistant Football ~ RMS",2026-08-11,"2026-06-02","Athletics","Ronan, Montana","https://ronan.schoolspring.com/jobs/5755518","Ronan Public Schools","Direct district board","Stable per-posting URL","url:https://ronan.schoolspring.com/jobs/5755518"
